timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1657843200,-321.9507735,-208.37725,-272.8320149,-306.8156029,-21.61647201,-28.94768212,-123.8293022,-454.8423976,-23.38994944,-21.32884679,-25.83387592,-922.0748615
1657846800,-322.3206967,-208.0490152,-268.7369662,-302.7840275,-21.61647201,-29.23505376,-123.8293022,-449.3839423,-23.38994944,-21.32884679,-25.83387592,-916.228956
1657850400,-324.1700577,-208.0490152,-265.4315061,-299.44603,-21.61647201,-29.52241584,-123.8293022,-443.9671944,-23.38994944,-21.32884679,-25.83387592,-912.6848493
1657854000,-323.8002195,-207.3925065,-261.7054386,-295.7355278,-21.61647201,-29.85765951,-123.4977295,-439.2301477,-23.38994944,-21.041212,-25.83387592,-909.1389115
1657857600,-324.1700577,-206.7359458,-257.97767,-292.4410322,-21.61647201,-29.85765951,-123.1187734,-434.9005252,-23.38994944,-21.32884679,-25.83387592,-907.1729043
1657861200,-324.8634585,-206.7359458,-255.0408549,-289.8416116,-21.61647201,-30.14500086,-122.7871727,-430.8877873,-23.38994944,-21.32884679,-25.83387592,-906.788185
1657864800,-325.60302,-206.7359458,-252.0563435,-287.2413575,-21.61647201,-30.14500086,-122.7871727,-428.3787808,-23.72543126,-21.32884679,-25.83387592,-907.9850189
1657868400,-325.9727752,-207.0642327,-249.8172455,-285.7551238,-21.90408767,-30.48022034,-122.7871727,-427.2836897,-23.72543126,-21.61647201,-26.16926285,-913.0692385
1657872000,-327.0819389,-208.37725,-249.444003,-286.8698246,-22.19169375,-30.76754095,-123.4977295,-430.1579774,-24.01297674,-21.61647201,-26.16926285,-920.7951628
1657875600,-328.5605856,-210.6745288,-250.9368711,-289.8416116,-22.19169375,-31.054852,-124.5397713,-437.8175872,-24.30051266,-21.61647201,-26.456727,-934.6458234
1657879200,-330.7780454,-214.6112363,-255.4138423,-295.364384,-22.19169375,-31.39003612,-125.9131753,-450.4759396,-24.63595913,-21.61647201,-26.456727,-952.6309407
1657882800,-335.5342775,-221.3086981,-263.1960698,-303.5256177,-22.19169375,-28.32501072,-127.9965337,-466.0656706,-23.10238322,-21.61647201,-26.79208974,-971.8388599
1657886400,-342.9170068,-231.087519,-272.8320149,-312.0027147,-22.19169375,-28.32501072,-129.7480505,-479.9019931,-23.10238322,-21.61647201,-26.79208974,-987.2335148
1657890000,-350.6154729,-240.4810786,-281.341264,-319.7308769,-22.19169375,-28.32501072,-131.4992034,-489.6406081,-23.38994944,-21.61647201,-26.79208974,-999.6841158
1657893600,-357.2016812,-247.9508627,-287.9843723,-325.60302,-22.19169375,-28.32501072,-133.5811818,-495.2969453,-24.01297674,-21.61647201,-26.79208974,-1009.670045
1657897200,-363.4144426,-253.5487353,-292.8123099,-329.6693921,-22.19169375,-28.32501072,-135.6626456,-499.7738172,-24.01297674,-21.61647201,-26.456727,-1015.015012
1657900800,-368.565057,-257.97767,-297.9620332,-333.7337058,-22.47929027,-28.94768212,-137.7435949,-506.5519926,-24.01297674,-21.61647201,-27.07953316,-1019.599005
1657904400,-373.666394,-260.960021,-301.6715148,-336.6421207,-22.47929027,-29.52241584,-139.4930857,-511.0223122,-24.01297674,-21.61647201,-27.7022944,-1018.758142
1657908000,-377.7083699,-262.4507882,-304.2671397,-337.7498108,-21.90408767,-29.23505376,-141.2422127,-506.1454707,-23.72543126,-21.32884679,-27.366967,-1013.794885
1657911600,-381.0139101,-261.7054386,-303.8963872,-337.3805978,-21.90408767,-28.94768212,-142.2820616,-498.6435398,-23.72543126,-21.32884679,-27.07953316,-1005.921806
1657915200,-383.17095,-260.2145353,-301.3006432,-334.7956303,-21.90408767,-28.32501072,-142.9909757,-490.0480031,-23.38994944,-21.32884679,-26.79208974,-994.7066512
1657918800,-385.0062661,-257.97767,-297.9620332,-331.5170626,-21.90408767,-27.7022944,-143.3217819,-481.0350215,-23.38994944,-21.041212,-26.16926285,-983.0922645
1657922400,-386.1072516,-255.7868127,-293.5548144,-327.0819389,-21.90408767,-27.7022944,-143.652575,-473.644687,-23.38994944,-21.041212,-26.16926285,-971.4154327
1657926000,-387.2080841,-253.5487353,-289.0987669,-322.690603,-21.90408767,-27.7022944,-143.652575,-466.4289063,-23.38994944,-21.041212,-26.16926285,-960.9907559
1657929600,-387.2080841,-250.9368711,-285.058358,-318.2506056,-21.90408767,-27.366967,-143.3217819,-459.524519,-23.38994944,-21.041212,-26.16926285,-950.5499939
1657933200,-387.2080841,-249.0707434,-280.225804,-313.8544467,-21.90408767,-27.366967,-142.9909757,-453.0233378,-23.38994944,-21.041212,-26.16926285,-943.0277879
1657936800,-387.5749942,-247.2041905,-275.8089393,-309.4095756,-22.19169375,-27.366967,-142.2820616,-447.2450042,-23.38994944,-21.041212,-26.16926285,-936.7316413
1657940400,-386.8411569,-244.5903019,-271.7153876,-305.0085938,-22.19169375,-27.98970751,-141.5730876,-441.4168342,-23.38994944,-21.041212,-26.16926285,-930.8556647
1657944000,-386.8411569,-242.7227283,-267.6197775,-300.5588489,-22.19169375,-29.52241584,-140.8640539,-436.3591923,-23.38994944,-21.041212,-26.16926285,-926.2535434
1657947600,-387.5749942,-241.9755798,-264.6864287,-297.2199328,-22.47929027,-29.85765951,-140.2022351,-431.6175291,-23.38994944,-21.041212,-26.16926285,-924.5909044
1657951200,-387.9418873,-240.8547294,-260.960021,-293.5548144,-22.76687721,-30.14500086,-139.8240295,-428.0137674,-23.72543126,-21.041212,-26.16926285,-925.0172606
1657954800,-388.3087634,-240.1074108,-257.97767,-291.3270969,-22.76687721,-30.76754095,-139.8240295,-425.82333,-24.01297674,-21.32884679,-26.456727,-929.1941452
1657958400,-389.0424646,-240.1074108,-255.7868127,-289.8416116,-23.10238322,-31.054852,-139.4930857,-425.4581975,-24.01297674,-21.32884679,-26.456727,-935.4972547
1657962000,-390.1428887,-242.7227283,-256.159766,-291.3270969,-23.38994944,-31.39003612,-140.533151,-429.793047,-24.30051266,-21.61647201,-26.79208974,-945.9611637
1657965600,-391.2431598,-247.2041905,-258.7233598,-295.364384,-23.38994944,-31.67732644,-141.5730876,-439.9591112,-24.63595913,-21.61647201,-26.79208974,-961.8388913
1657969200,-393.0307738,-254.2948292,-264.6864287,-302.0423694,-22.19169375,-28.94768212,-143.3217819,-454.1148247,-23.10238322,-21.32884679,-26.79208974,-980.9783982
1657972800,-398.1621867,-263.1960698,-273.5763481,-310.8914715,-22.19169375,-28.94768212,-146.1094875,-470.0149455,-21.61647201,-22.19169375,-27.07953316,-1002.592952
